index,date,hair,age,experience,salary,gender,diploma,speciality,score,availability,hired
7844,2011-09-01,roux,44.0,10.0,23110.0,M,master,geologie,104.66,non,No
6914,2010-11-17,brun,50.0,9.0,34639.0,M,master,geologie,70.45,non,No
5886,2012-02-04,brun,,11.0,31767.0,M,master,geologie,93.34,oui,No
2902,2012-06-17,brun,34.0,8.0,37681.0,M,licence,geologie,66.61,non,No
12007,2010-10-19,brun,37.0,7.0,45028.0,M,licence,geologie,61.68,non,Yes
4374,2014-01-04,brun,37.0,12.0,42251.0,M,licence,geologie,55.57,non,No
13674,2012-12-24,blond,45.0,11.0,33677.0,F,licence,detective,65.89,non,No
15417,2011-05-24,blond,41.0,8.0,28150.0,M,master,geologie,91.56,non,No
7444,2010-01-11,brun,37.0,9.0,33582.0,F,licence,geologie,91.49,non,No
11475,2011-01-12,chatain,41.0,10.0,31584.0,M,doctorat,geologie,100.02,oui,No
14213,2011-10-19,brun,31.0,10.0,45419.0,M,bac,geologie,69.61,non,No
16921,2010-08-08,chatain,38.0,9.0,34297.0,M,doctorat,geologie,65.9,oui,No
2422,2014-01-10,blond,35.0,8.0,33751.0,M,master,geologie,92.59,oui,Yes
706,2010-06-26,brun,29.0,9.0,41358.0,,master,archeologie,82.24,oui,No
320,2013-02-22,blond,34.0,4.0,29647.0,F,licence,geologie,66.32,non,No
6201,2014-02-04,brun,28.0,8.0,32905.0,F,licence,geologie,75.58,non,No
12138,2012-11-17,blond,44.0,8.0,44981.0,M,licence,archeologie,58.4,oui,No
3407,2010-05-13,chatain,47.0,9.0,34281.0,F,master,detective,87.71,oui,No
6716,2012-11-02,brun,45.0,8.0,32411.0,F,doctorat,archeologie,112.39,oui,No
15944,2011-03-15,brun,39.0,12.0,48096.0,M,bac,,23.82,non,No
12211,2012-08-10,brun,39.0,7.0,25796.0,F,master,forage,88.99,non,No
16328,2014-05-06,brun,27.0,10.0,38650.0,F,master,detective,81.58,oui,No
16351,2014-11-10,blond,29.0,9.0,32642.0,M,bac,geologie,59.7,non,No
1630,2010-07-12,brun,34.0,7.0,44827.0,F,licence,forage,69.8,oui,Yes
4053,2014-04-23,chatain,26.0,14.0,44406.0,M,licence,geologie,66.08,non,No
9753,2014-10-18,brun,38.0,9.0,36680.0,M,master,geologie,72.12,oui,No
14039,2011-03-28,chatain,32.0,11.0,41269.0,F,licence,geologie,82.81,non,No
16292,2013-01-18,brun,28.0,11.0,39220.0,M,master,detective,86.1,oui,No
16251,2011-09-01,brun,48.0,6.0,39043.0,M,licence,geologie,85.04,oui,No
15168,2011-10-18,blond,23.0,12.0,38169.0,M,licence,geologie,67.32,non,No
19058,2011-10-28,blond,27.0,14.0,23841.0,M,doctorat,forage,95.18,oui,Yes
6575,2014-06-11,brun,27.0,10.0,32380.0,F,licence,geologie,79.16,non,No
14754,2012-07-22,roux,41.0,11.0,42496.0,M,bac,geologie,13.58,non,No
9506,2014-08-27,brun,40.0,3.0,37936.0,M,licence,forage,70.9,non,No
19281,2010-03-19,chatain,39.0,11.0,31702.0,F,master,geologie,65.75,non,No
19872,2012-04-05,chatain,39.0,9.0,31549.0,F,master,detective,91.95,non,Yes
19031,2012-02-02,chatain,29.0,4.0,39142.0,M,licence,geologie,27.67,non,No
5750,2014-02-16,brun,44.0,8.0,36726.0,F,licence,archeologie,78.18,oui,No
12070,2014-02-15,chatain,47.0,10.0,36346.0,F,master,geologie,62.28,non,Yes
16479,2010-03-01,blond,33.0,14.0,27131.0,M,doctorat,geologie,98.22,oui,No
13171,2013-02-04,blond,43.0,11.0,35085.0,M,licence,geologie,66.86,non,No
393,2010-05-15,blond,34.0,12.0,33588.0,F,licence,forage,69.63,non,No
11697,2014-09-17,roux,41.0,10.0,37249.0,M,licence,geologie,65.21,non,No
12208,2010-04-25,chatain,55.0,11.0,27580.0,F,,geologie,92.64,non,No
16369,2011-11-26,chatain,32.0,10.0,31588.0,F,master,detective,61.21,non,Yes
17057,2011-11-18,blond,22.0,17.0,35499.0,M,master,forage,70.03,oui,No
6862,2013-12-31,blond,37.0,7.0,39730.0,M,master,detective,62.73,oui,No
13234,2014-01-12,brun,47.0,8.0,41950.0,,licence,geologie,69.94,non,No
7056,2011-07-15,blond,72.0,9.0,33252.0,M,licence,geologie,53.24,non,No
15369,2010-10-29,chatain,46.0,8.0,36475.0,M,master,geologie,77.88,non,No
3552,2013-10-08,roux,33.0,6.0,32512.0,M,licence,geologie,82.05,non,No
1084,2010-12-19,chatain,54.0,10.0,43308.0,M,master,geologie,70.18,oui,No
14157,2014-05-05,roux,54.0,6.0,31233.0,M,bac,geologie,69.46,non,No
15017,2014-02-08,chatain,46.0,13.0,33412.0,F,master,geologie,68.6,non,No
7151,2013-04-17,roux,35.0,10.0,33715.0,M,bac,geologie,61.9,non,No
8573,2013-08-09,brun,35.0,14.0,35906.0,F,licence,geologie,92.0,non,No
1073,2010-11-05,blond,33.0,12.0,33159.0,F,licence,forage,78.64,non,No
8281,2012-02-08,chatain,28.0,10.0,33217.0,M,doctorat,detective,72.52,oui,No
11939,2014-05-21,chatain,32.0,9.0,32766.0,F,master,forage,80.11,non,No
14186,2013-10-28,blond,28.0,12.0,40263.0,M,licence,geologie,87.95,oui,Yes
7312,2012-02-03,brun,44.0,10.0,29751.0,M,master,geologie,65.32,non,No
13598,2014-12-21,blond,45.0,8.0,31572.0,M,licence,geologie,76.02,non,No
1599,2010-08-20,brun,19.0,9.0,39401.0,M,licence,geologie,80.02,oui,No
172,2013-11-28,chatain,49.0,9.0,36429.0,M,doctorat,geologie,77.48,oui,No
9624,2014-04-04,blond,24.0,9.0,38713.0,F,bac,forage,64.99,non,No
12243,2010-01-10,chatain,53.0,9.0,38954.0,M,licence,geologie,50.3,non,No
1756,2014-06-17,chatain,39.0,5.0,33965.0,F,master,forage,103.23,oui,No
714,2011-09-26,brun,31.0,11.0,37985.0,M,master,geologie,88.96,oui,No
17917,2010-02-24,chatain,48.0,7.0,32948.0,F,doctorat,archeologie,115.51,oui,No
5156,2010-10-25,chatain,41.0,12.0,39654.0,M,licence,geologie,54.67,non,No
12294,2014-08-05,brun,30.0,9.0,29614.0,F,licence,geologie,89.09,non,No
7216,2010-02-02,roux,35.0,8.0,29170.0,M,doctorat,geologie,102.25,oui,Yes
13811,2013-03-06,blond,32.0,10.0,34336.0,M,master,geologie,88.96,oui,Yes
19868,2014-05-29,blond,27.0,10.0,35768.0,F,licence,detective,93.38,non,No
18437,2012-01-29,blond,43.0,18.0,32083.0,M,doctorat,geologie,91.19,oui,No
17229,2014-05-27,chatain,48.0,9.0,31559.0,F,doctorat,geologie,97.46,non,No
11213,2014-08-14,blond,22.0,7.0,39636.0,M,licence,forage,84.68,oui,No
6954,2012-05-26,brun,49.0,8.0,37180.0,M,master,geologie,80.56,non,No
5081,2014-03-26,brun,27.0,11.0,28016.0,F,master,forage,85.09,non,No
18948,2014-01-20,chatain,48.0,11.0,35883.0,F,master,forage,44.22,non,Yes
1032,2014-01-23,chatain,35.0,5.0,34954.0,F,master,geologie,94.43,non,No
632,2011-10-16,brun,44.0,9.0,39927.0,M,licence,geologie,59.12,non,No
17469,2014-07-19,roux,21.0,3.0,36777.0,M,bac,geologie,57.67,non,No
17668,2014-09-12,blond,35.0,15.0,34996.0,M,licence,forage,74.08,non,No
18870,2011-07-13,brun,24.0,5.0,32815.0,F,master,geologie,106.42,non,No
12548,2014-09-08,brun,33.0,11.0,28403.0,M,doctorat,geologie,96.72,oui,No
1209,2010-09-09,roux,21.0,9.0,40473.0,M,master,geologie,103.57,oui,Yes
12863,2011-02-24,chatain,31.0,9.0,40018.0,F,licence,detective,79.57,non,No
14268,2010-07-28,brun,17.0,5.0,32453.0,M,master,forage,94.65,oui,No
19423,2012-02-18,brun,35.0,6.0,34293.0,M,licence,detective,75.35,non,Yes
186,2012-06-25,chatain,30.0,9.0,33557.0,M,master,geologie,65.9,non,No
2066,2011-08-20,brun,29.0,13.0,39949.0,F,master,archeologie,79.18,oui,No
9868,2010-11-10,blond,24.0,11.0,30086.0,M,master,forage,87.8,non,No
7135,2012-04-10,chatain,37.0,9.0,31441.0,F,master,detective,47.48,non,Yes
43,2013-09-29,chatain,24.0,9.0,44710.0,M,bac,geologie,29.97,non,No
17634,2011-03-25,blond,40.0,5.0,35311.0,M,licence,geologie,96.28,oui,No
5906,2013-01-21,brun,33.0,5.0,35538.0,M,master,detective,87.65,oui,No
11758,2012-04-05,brun,42.0,13.0,35066.0,M,licence,geologie,45.41,non,No
5401,2013-07-05,chatain,29.0,12.0,29313.0,F,master,geologie,75.72,non,No
19227,2014-05-08,brun,41.0,15.0,30302.0,M,doctorat,geologie,88.94,oui,No
2998,2014-03-28,chatain,51.0,8.0,41122.0,F,master,detective,102.66,oui,No
11800,2012-12-10,brun,20.0,11.0,31519.0,M,master,geologie,72.6,non,Yes
12860,2013-06-12,blond,40.0,9.0,39688.0,M,licence,geologie,64.3,non,No
3921,2011-06-23,roux,46.0,6.0,22534.0,M,licence,geologie,77.31,non,No
6244,2012-11-16,roux,41.0,13.0,29907.0,M,bac,geologie,66.42,non,No
19723,2010-02-02,chatain,28.0,5.0,41443.0,F,master,,64.36,oui,No
14520,2013-04-01,blond,36.0,7.0,17709.0,F,doctorat,geologie,108.14,non,No
2077,2013-01-28,blond,25.0,8.0,16058.0,F,master,geologie,102.79,non,No
18702,2010-09-01,blond,19.0,13.0,35064.0,M,licence,geologie,88.15,non,No
18202,2011-05-30,chatain,24.0,15.0,45756.0,M,bac,geologie,38.05,non,No
6799,2010-04-11,brun,39.0,10.0,39692.0,M,licence,geologie,68.05,non,No
14466,2010-05-17,roux,33.0,8.0,35588.0,M,bac,geologie,60.35,non,No
15704,2011-01-21,blond,20.0,6.0,30687.0,M,master,forage,72.38,oui,No
14517,2011-05-25,brun,36.0,12.0,,F,licence,detective,66.02,non,No
4831,2013-11-03,chatain,26.0,11.0,27344.0,F,doctorat,geologie,111.88,oui,No
13079,2014-10-05,chatain,41.0,14.0,35303.0,F,licence,geologie,73.15,non,No
11802,2011-07-21,chatain,29.0,4.0,36721.0,F,master,detective,89.23,oui,No
387,2013-09-19,chatain,37.0,15.0,31469.0,M,master,geologie,69.09,non,No
6619,2012-11-12,blond,35.0,7.0,30000.0,M,master,detective,60.55,non,No
11303,2011-04-01,chatain,41.0,7.0,30167.0,F,doctorat,detective,104.88,oui,No
12072,2013-02-05,brun,44.0,12.0,39208.0,M,master,forage,90.14,oui,No
19668,2010-05-26,chatain,18.0,11.0,34689.0,F,master,archeologie,104.0,oui,No
13890,2013-08-12,chatain,48.0,8.0,38572.0,F,licence,geologie,,non,No
19518,2010-12-07,blond,21.0,8.0,31044.0,M,licence,geologie,65.77,non,No
19886,2011-12-14,chatain,30.0,13.0,33266.0,M,licence,geologie,59.59,non,No
6726,2014-10-18,chatain,35.0,4.0,35584.0,M,master,detective,70.28,non,Yes
7295,2013-08-25,brun,33.0,7.0,40303.0,M,licence,forage,70.28,oui,No
10142,2010-07-09,chatain,23.0,13.0,25548.0,M,doctorat,geologie,91.93,non,No
6440,2014-04-29,chatain,15.0,12.0,30815.0,M,doctorat,geologie,98.12,oui,No
14177,2011-01-30,roux,33.0,5.0,28777.0,M,licence,geologie,65.96,non,No
19416,2010-11-18,brun,35.0,10.0,34611.0,M,licence,forage,48.93,non,No
15435,2014-08-21,roux,25.0,11.0,41958.0,M,bac,geologie,38.92,non,No
10343,2013-03-05,roux,19.0,12.0,36323.0,M,bac,geologie,69.33,non,No
6230,2010-03-19,roux,43.0,16.0,39279.0,M,master,geologie,103.87,oui,Yes
5373,2012-09-23,blond,32.0,10.0,35139.0,M,master,geologie,63.1,oui,No
3557,2014-07-28,brun,35.0,11.0,39879.0,M,licence,forage,79.29,oui,No
13420,2013-09-24,brun,46.0,13.0,26298.0,M,master,geologie,93.75,non,No
12551,2014-01-09,blond,33.0,14.0,38096.0,M,licence,geologie,75.43,oui,No
6172,2011-02-18,chatain,43.0,6.0,32778.0,F,master,geologie,77.77,non,No
1193,2013-11-13,blond,37.0,11.0,35448.0,M,master,detective,84.76,oui,No
10943,2011-06-09,brun,31.0,8.0,43305.0,M,master,detective,83.8,oui,No
11804,2014-08-27,blond,26.0,9.0,41926.0,M,licence,forage,72.39,oui,No
7104,2012-11-14,brun,23.0,10.0,27094.0,M,licence,archeologie,74.35,non,Yes
1605,2014-10-21,chatain,40.0,10.0,41901.0,M,master,forage,79.47,oui,No
16892,2011-11-30,blond,36.0,13.0,35934.0,M,licence,geologie,76.73,non,No
9676,2010-03-10,blond,38.0,4.0,23959.0,M,doctorat,geologie,116.18,oui,No
17927,2012-10-29,brun,29.0,8.0,41401.0,M,licence,detective,56.29,oui,No
16161,2013-03-13,brun,28.0,11.0,32651.0,M,master,geologie,74.51,non,No
10785,2012-05-19,chatain,32.0,,35074.0,M,master,forage,87.52,oui,No
2766,2010-09-15,chatain,64.0,10.0,35381.0,M,doctorat,geologie,98.14,oui,No
18270,2013-07-17,brun,32.0,6.0,29606.0,M,master,forage,81.01,non,No
5487,2010-07-02,blond,26.0,9.0,25094.0,M,master,geologie,72.41,non,No
18012,2010-06-17,blond,43.0,8.0,36169.0,M,licence,detective,92.1,oui,Yes
19230,2014-07-31,roux,36.0,5.0,39665.0,M,bac,geologie,69.02,non,No
5614,2013-11-05,blond,44.0,15.0,33457.0,M,licence,geologie,65.19,non,No
2557,2012-05-19,brun,47.0,8.0,33631.0,F,licence,forage,68.6,non,No
12826,2013-04-06,brun,41.0,14.0,25158.0,F,master,geologie,93.69,non,No
255,2014-01-07,blond,30.0,12.0,33725.0,M,master,geologie,71.22,non,No
8430,2013-12-02,roux,26.0,11.0,39697.0,M,licence,geologie,75.0,oui,No
6979,2010-05-10,blond,35.0,11.0,31987.0,M,licence,geologie,79.63,non,No
12168,2010-05-06,blond,36.0,8.0,33436.0,M,licence,geologie,65.24,non,No
14018,2013-08-19,chatain,33.0,7.0,41117.0,F,licence,detective,49.79,non,No
9814,2010-09-29,chatain,25.0,9.0,32474.0,F,master,geologie,79.26,non,No
12100,2014-08-12,blond,35.0,7.0,37444.0,M,licence,forage,80.09,oui,No
4954,2011-08-01,chatain,13.0,9.0,37917.0,F,master,detective,82.8,oui,No
15635,2011-03-13,chatain,18.0,11.0,38292.0,F,master,forage,100.33,oui,No
7397,2012-03-24,chatain,36.0,10.0,27628.0,M,doctorat,geologie,87.25,non,No
2525,2013-04-20,roux,37.0,12.0,27194.0,M,master,geologie,80.37,non,No
11126,2012-12-04,brun,36.0,9.0,31515.0,M,master,forage,79.28,non,Yes
19722,2014-04-26,blond,41.0,4.0,36605.0,M,licence,forage,66.94,non,Yes
16658,2012-04-15,chatain,29.0,6.0,35829.0,M,doctorat,geologie,59.36,oui,No
12258,2011-05-07,blond,40.0,7.0,34113.0,M,master,geologie,76.29,non,No
16912,2011-06-24,blond,41.0,13.0,43829.0,M,bac,forage,65.64,oui,No
14340,2013-10-16,chatain,41.0,11.0,38435.0,F,master,detective,73.02,oui,No
7479,2011-07-18,blond,40.0,9.0,33694.0,M,licence,geologie,65.32,non,No
10569,2010-01-10,brun,17.0,7.0,27841.0,M,doctorat,geologie,73.91,non,Yes
4810,2012-01-25,chatain,44.0,12.0,36517.0,F,master,detective,65.22,non,Yes
14069,2014-01-09,brun,37.0,4.0,41924.0,M,licence,geologie,73.63,oui,No
6045,2014-06-20,brun,26.0,12.0,26658.0,F,doctorat,detective,93.32,oui,No
16719,2011-02-17,blond,23.0,16.0,37971.0,M,licence,forage,61.87,non,No
4625,2010-06-28,blond,35.0,6.0,28515.0,M,master,geologie,69.2,non,No
5070,2012-05-11,chatain,40.0,9.0,35057.0,M,master,geologie,75.18,non,No
19282,2013-10-10,,40.0,11.0,34458.0,M,licence,geologie,64.77,non,No
385,2014-12-08,roux,24.0,7.0,31189.0,M,licence,geologie,84.15,non,No
6254,2012-08-10,blond,19.0,6.0,35992.0,M,licence,detective,77.16,oui,No
7939,2013-11-29,chatain,35.0,16.0,35186.0,F,licence,forage,56.65,non,Yes
10381,2012-11-09,blond,27.0,8.0,40038.0,F,licence,archeologie,84.59,oui,Yes
13582,2010-12-14,blond,26.0,7.0,39470.0,M,licence,forage,57.18,non,No
1729,2012-10-13,blond,38.0,8.0,34469.0,M,bac,geologie,50.04,non,No
4711,2013-12-05,brun,29.0,8.0,37242.0,F,licence,detective,75.87,non,No
456,2012-09-10,blond,44.0,11.0,35191.0,M,master,geologie,74.45,oui,No
8867,2013-05-31,brun,25.0,7.0,36523.0,M,master,forage,46.69,oui,Yes
3769,2014-03-06,blond,39.0,11.0,31786.0,M,master,forage,76.64,non,No
10680,2014-07-07,roux,45.0,13.0,38768.0,M,licence,geologie,99.62,oui,Yes
19322,2011-11-21,brun,36.0,12.0,32129.0,F,master,detective,102.0,non,No
13690,2010-01-25,brun,34.0,10.0,32284.0,M,doctorat,geologie,74.7,oui,No
14884,2012-05-08,roux,47.0,7.0,34686.0,M,bac,forage,60.43,non,No
6465,2014-04-03,blond,17.0,4.0,35013.0,M,master,detective,65.55,oui,No
7647,2011-03-30,brun,35.0,9.0,38497.0,F,licence,archeologie,79.7,non,No
18933,2010-09-05,chatain,36.0,10.0,35585.0,M,doctorat,geologie,42.9,non,Yes
18023,2011-08-15,brun,29.0,7.0,32520.0,F,licence,geologie,62.73,non,Yes
1055,2012-04-06,brun,30.0,14.0,35614.0,M,doctorat,detective,85.22,oui,No
67,2011-05-30,blond,54.0,7.0,35396.0,M,bac,geologie,48.69,non,No
7879,2014-07-21,chatain,32.0,6.0,36087.0,F,master,detective,76.26,non,No
2023,2014-01-01,blond,43.0,8.0,39151.0,F,licence,archeologie,58.85,oui,No
3873,2013-07-09,brun,25.0,11.0,42420.0,M,licence,geologie,48.0,non,No
10884,2013-07-25,brun,30.0,8.0,39781.0,F,licence,detective,49.65,non,No
5461,2012-11-23,chatain,38.0,15.0,34261.0,F,master,geologie,77.06,non,No
